Dish Name,Calories(kcal),Carbohydrates(g),Protein(g),Fats(g),Sugar(g)
adhirasam,250,35,2,12,18
aloo_gobi,150,20,4,7,3
aloo_matar,180,22,5,8,4
aloo_methi,160,18,4,7,3
aloo_shimla_mirch,170,19,3,8,3
aloo_tikki,200,28,3,9,2
anarsa,280,40,3,14,20
ariselu,270,38,2,13,18
bandar_laddu,300,36,4,15,25
basundi,250,20,6,15,20
bhatura,300,35,5,14,2
bhindi_masala,120,12,2,7,3
biryani,350,40,12,15,3
boondi,200,22,3,12,5
butter_chicken,430,10,28,30,4
chak_hao_kheer,220,30,5,9,18
cham_cham,250,28,6,10,20
chana_masala,220,30,10,6,5
chapati,120,18,3,4,1
chhena_kheeri,280,22,8,16,20
chicken_razala,400,8,26,28,3
chicken_tikka,300,5,28,20,2
chicken_tikka_masala,430,10,25,32,4
chikki,250,22,6,14,15
daal_baati_churma,500,45,12,25,8
daal_puri,320,34,8,18,3
dal_makhani,280,24,10,16,3
dal_tadka,180,22,8,7,2
dharwad_pedha,320,30,6,16,22
doodhpak,250,30,7,10,20
double_ka_meetha,350,38,6,18,25
dum_aloo,220,18,4,12,4
gajar_ka_halwa,300,28,5,18,20
gavvalu,280,36,2,14,22
ghevar,350,42,6,18,28
gulab_jamun,300,35,4,15,25
imarti,270,30,4,12,22
jalebi,300,36,3,15,28
kachori,320,30,5,20,3
kadai_paneer,320,14,12,24,4
kadhi_pakoda,250,18,8,14,5
kajjikaya,280,34,3,14,22
kakinada_khaja,300,38,4,14,26
kalakand,280,26,8,14,20
karela_bharta,150,12,4,8,3
kofta,330,16,10,22,6
kuzhi_paniyaram,200,24,4,10,3
lassi,180,20,6,7,18
ledikeni,310,34,5,16,24
litti_chokha,400,38,10,20,4
lyangcha,320,36,6,15,25
maach_jhol,280,8,22,18,2
makki_di_roti_sarson_da_saag,350,32,8,20,4
malapua,300,34,5,16,22
misi_roti,150,20,4,6,2
misti_doi,200,18,6,8,18
modak,250,32,4,12,20
mysore_pak,400,30,4,30,25
naan,260,38,6,8,2
navrattan_korma,300,28,6,18,8
palak_paneer,280,14,12,18,3
paneer_butter_masala,360,20,10,28,5
phirni,240,30,6,10,20
pithe,270,32,4,12,22
poha,200,28,4,6,2
poornalu,290,34,4,14,22
pootharekulu,310,40,2,14,28
qubani_ka_meetha,260,30,4,10,22
rabri,350,22,8,25,28
ras_malai,300,24,8,18,25
rasgulla,250,28,6,10,22
sandesh,220,20,6,10,18
shankarpali,280,36,3,14,22
sheer_korma,350,28,8,20,28
sheera,300,34,4,15,22
shrikhand,280,20,8,18,22
sohan_halwa,360,34,5,20,26
sohan_papdi,330,36,4,16,24
sutar_feni,320,34,3,18,25
unni_appam,270,32,4,14,20
