Question,Response,Label,Score
Q6,Yes,POSITIVE,0.9997805953025818
Q7,Never,NEGATIVE,0.9904738068580627
Q9,Yes,POSITIVE,0.9997805953025818
Q10,Moderately Important,POSITIVE,0.9997981190681458
Q13,I'm worried about the safety of using electricity for taste.,NEGATIVE,0.9978809952735901
Q14,Make menus clearer about salt content.,POSITIVE,0.9811603426933289
Q16,Too Bland,NEGATIVE,0.9997836947441101
Q6,Sometimes,POSITIVE,0.9073318839073181
Q7,Sometimes,POSITIVE,0.9073318839073181
Q9,No,NEGATIVE,0.9964459538459778
Q10,Very Important,POSITIVE,0.9997726082801819
Q13,I think it's a fascinating innovation!,POSITIVE,0.999825656414032
Q14,Introduce spice blends that enhance flavor without salt.,POSITIVE,0.9996587038040161
Q16,Too Salty,NEGATIVE,0.999002993106842
Q6,No,NEGATIVE,0.9964459538459778
Q7,Always,POSITIVE,0.9983166456222534
Q9,Yes,POSITIVE,0.9997805953025818
Q10,Not Important,NEGATIVE,0.9997426867485046
Q13,I'm worried about the safety of using electricity for taste.,NEGATIVE,0.9978809952735901
Q14,"Some dishes taste fine, but others really lack depth.",NEGATIVE,0.9986811280250549
Q16,Too Bland,NEGATIVE,0.9997836947441101
Q6,No,NEGATIVE,0.9964459538459778
Q7,Always,POSITIVE,0.9983166456222534
Q9,No,NEGATIVE,0.9964459538459778
Q10,Moderately Important,POSITIVE,0.9997981190681458
Q13,I think it's a fascinating innovation!,POSITIVE,0.999825656414032
Q14,Restaurants should offer more flavorful low-sodium dishes.,NEGATIVE,0.8018722534179688
Q16,Perfect,POSITIVE,0.9998517036437988
Q6,Yes,POSITIVE,0.9997805953025818
Q7,Sometimes,POSITIVE,0.9073318839073181
Q9,Yes,POSITIVE,0.9997805953025818
Q10,Very Important,POSITIVE,0.9997726082801819
Q13,I'm worried about the safety of using electricity for taste.,NEGATIVE,0.9978809952735901
Q14,"Some dishes taste fine, but others really lack depth.",NEGATIVE,0.9986811280250549
Q16,Too Salty,NEGATIVE,0.999002993106842
Q6,Sometimes,POSITIVE,0.9073318839073181
Q7,Always,POSITIVE,0.9983166456222534
Q9,No,NEGATIVE,0.9964459538459778
Q10,Very Important,POSITIVE,0.9997726082801819
Q13,I'm not sure it would work for everyone.,NEGATIVE,0.9996950626373291
Q14,Introduce spice blends that enhance flavor without salt.,POSITIVE,0.9996587038040161
Q16,Too Salty,NEGATIVE,0.999002993106842
Q6,Yes,POSITIVE,0.9997805953025818
Q7,Always,POSITIVE,0.9983166456222534
Q9,No,NEGATIVE,0.9964459538459778
Q10,Moderately Important,POSITIVE,0.9997981190681458
Q13,I'm not sure it would work for everyone.,NEGATIVE,0.9996950626373291
Q14,Introduce spice blends that enhance flavor without salt.,POSITIVE,0.9996587038040161
Q16,Too Bland,NEGATIVE,0.9997836947441101
Q6,No,NEGATIVE,0.9964459538459778
Q7,Never,NEGATIVE,0.9904738068580627
Q9,No,NEGATIVE,0.9964459538459778
Q10,Moderately Important,POSITIVE,0.9997981190681458
Q13,I think it's a fascinating innovation!,POSITIVE,0.999825656414032
Q14,Restaurants should offer more flavorful low-sodium dishes.,NEGATIVE,0.8018722534179688
